"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.275518191E2,6.501188929E1,2.551486018E1,1.053405874E1,1.240000010E0,1.095999985E2,3.500000000E0,1.000000000E2
1.285599877E2,6.501188389E1,2.551489086E1,1.053405701E1,1.240000010E0,1.146999969E2,3.000000000E0,1.000000000E2
1.295691402E2,6.501187861E1,2.551491626E1,1.053405586E1,1.179999948E0,1.138000031E2,3.000000000E0,1.000000000E2
1.305602393E2,6.501187332E1,2.551494107E1,1.053405477E1,1.039999962E0,1.146999969E2,3.000000000E0,1.000000000E2
1.315761273E2,6.501186804E1,2.551496764E1,1.053405348E1,1.169999957E0,1.150999985E2,3.000000000E0,1.000000000E2
1.325555108E2,6.501186327E1,2.551500259E1,1.053405104E1,1.079999924E0,1.138000031E2,3.500000000E0,1.000000000E2
1.335747596E2,6.501185530E1,2.551502581E1,1.053405105E1,1.079999924E0,1.110000000E2,3.000000000E0,1.000000000E2
1.345535466E2,6.501184801E1,2.551504567E1,1.053405123E1,1.009999990E0,1.110000000E2,2.500000000E0,1.000000000E2
1.355619016E2,6.501184474E1,2.551506654E1,1.053404992E1,1.169999957E0,1.140999985E2,2.500000000E0,1.000000000E2
1.365605718E2,6.501184093E1,2.551508917E1,1.053404858E1,1.159999967E0,1.121999969E2,2.500000000E0,1.000000000E2
1.375704961E2,6.501183741E1,2.551511306E1,1.053404700E1,1.209999919E0,1.095999985E2,3.000000000E0,1.000000000E2
1.385503045E2,6.501183628E1,2.551513293E1,1.053404507E1,1.189999938E0,1.110000000E2,3.000000000E0,1.000000000E2
1.395930503E2,6.501183246E1,2.551515849E1,1.053404339E1,1.110000014E0,1.048000031E2,3.000000000E0,1.000000000E2
1.405529259E2,6.501182760E1,2.551518490E1,1.153404198E1,1.269999981E0,1.091999969E2,3.000000000E0,1.000000000E2
1.415504732E2,6.501182634E1,2.551519772E1,1.153404091E1,1.149999976E0,1.121999969E2,2.500000000E0,1.000000000E2
1.425684909E2,6.501182416E1,2.551522655E1,1.153403829E1,1.059999943E0,1.144000015E2,3.000000000E0,1.000000000E2
1.435478895E2,6.501182169E1,2.551525111E1,1.153403627E1,1.129999995E0,1.150000000E2,3.000000000E0,1.000000000E2
1.445725562E2,6.501181876E1,2.551527609E1,1.153403436E1,1.079999924E0,1.155000000E2,2.500000000E0,1.000000000E2
1.455662879E2,6.501181348E1,2.551530384E1,1.153403293E1,1.159999967E0,1.155999985E2,3.000000000E0,1.000000000E2
1.465833563E2,6.501180908E1,2.551532890E1,1.153403151E1,1.149999976E0,1.165000000E2,3.000000000E0,1.000000000E2
1.475493587E2,6.501180551E1,2.551534642E1,1.153403069E1,1.069999933E0,1.195999985E2,3.000000000E0,1.000000000E2
1.485410398E2,6.501180103E1,2.551535455E1,1.153403127E1,1.259999990E0,1.215999985E2,3.000000000E0,1.000000000E2
1.495615538E2,6.501179743E1,2.551537701E1,1.153402988E1,1.129999995E0,1.155999985E2,3.000000000E0,1.000000000E2
1.505627414E2,6.501179412E1,2.551540568E1,1.153402767E1,1.100000024E0,1.135000000E2,3.000000000E0,1.000000000E2
1.515644676E2,6.501179085E1,2.551543023E1,1.153402592E1,1.309999943E0,1.118000031E2,3.000000000E0,1.000000000E2
1.525427457E2,6.501178628E1,2.551544599E1,1.153402565E1,1.279999971E0,1.198000031E2,3.000000000E0,1.000000000E2
1.535673814E2,6.501177970E1,2.551546879E1,1.153402524E1,1.189999938E0,1.205999985E2,2.500000000E0,1.000000000E2
1.545473669E2,6.501177555E1,2.551548748E1,1.153402447E1,1.179999948E0,1.208000031E2,2.500000000E0,1.000000000E2
1.555498743E2,6.501177224E1,2.551550609E1,1.053402343E1,1.120000005E0,1.204000015E2,2.500000000E0,1.000000000E2
1.565495031E2,6.501176759E1,2.551553065E1,1.053402216E1,1.279999971E0,1.210000000E2,3.000000000E0,1.000000000E2
1.575510715E2,6.501175866E1,2.551555982E1,1.053402180E1,1.329999924E0,1.215000000E2,3.000000000E0,1.000000000E2
1.585616430E2,6.501175208E1,2.551559226E1,1.153402027E1,1.439999938E0,1.185999985E2,3.000000000E0,1.000000000E2
1.595506677E2,6.501174504E1,2.551562377E1,1.153401899E1,1.309999943E0,1.180999985E2,3.000000000E0,1.000000000E2
1.605460106E2,6.501173871E1,2.551564791E1,1.153401834E1,1.289999962E0,1.164000015E2,3.000000000E0,1.000000000E2
1.615658589E2,6.501173544E1,2.551567113E1,1.153401675E1,1.179999948E0,1.133000031E2,3.000000000E0,1.000000000E2
1.625493573E2,6.501173100E1,2.551569074E1,1.153401597E1,1.189999938E0,1.198000031E2,3.000000000E0,1.000000000E2
1.635579047E2,6.501172597E1,2.551571145E1,1.153401528E1,1.049999952E0,1.205999985E2,3.000000000E0,1.000000000E2
1.645656810E2,6.501172040E1,2.551573416E1,1.153401453E1,1.090000033E0,1.234000015E2,3.000000000E0,1.000000000E2
1.655578918E2,6.501171558E1,2.551574875E1,1.153401447E1,1.049999952E0,1.224000015E2,3.000000000E0,1.000000000E2
1.665550990E2,6.501171105E1,2.551577280E1,1.153401321E1,1.049999952E0,1.225999985E2,3.000000000E0,1.000000000E2
1.675556282E2,6.501170590E1,2.551579686E1,1.053401216E1,1.039999962E0,1.179000015E2,3.000000000E0,1.000000000E2
1.685565912E2,6.501170238E1,2.551582268E1,1.153401035E1,9.899999499E-1,1.216999969E2,3.000000000E0,1.000000000E2
1.695585043E2,6.501169588E1,2.551584338E1,1.153401015E1,1.159999967E0,1.166999969E2,3.000000000E0,1.000000000E2
1.705454965E2,6.501169035E1,2.551586836E1,1.153400913E1,1.240000010E0,1.186999969E2,3.000000000E0,1.000000000E2
1.715763368E2,6.501168414E1,2.551588504E1,1.153400930E1,1.339999914E0,1.183000031E2,3.500000000E0,1.000000000E2
1.725499085E2,6.501167853E1,2.551591194E1,1.153400807E1,1.149999976E0,1.163000031E2,3.000000000E0,1.000000000E2
1.735651820E2,6.501167191E1,2.551593767E1,1.153400733E1,1.299999952E0,1.124000015E2,3.000000000E0,1.000000000E2
1.745607602E2,6.501166570E1,2.551596148E1,1.153400667E1,1.269999981E0,1.126999969E2,3.500000000E0,1.000000000E2
1.755535978E2,6.501165992E1,2.551598629E1,1.153400574E1,1.279999971E0,1.160000000E2,3.500000000E0,1.000000000E2
1.765667187E2,6.501165460E1,2.551601546E1,1.253400415E1,1.309999943E0,1.123000031E2,3.500000000E0,1.000000000E2
1.775596913E2,6.501164869E1,2.551604169E1,1.153400311E1,1.169999957E0,1.134000015E2,3.000000000E0,1.000000000E2
1.785424154E2,6.501164156E1,2.551606726E1,1.153400255E1,1.389999986E0,1.135000000E2,3.000000000E0,1.000000000E2
1.795528101E2,6.501163733E1,2.551609333E1,1.253400095E1,1.230000019E0,1.150000000E2,3.500000000E0,1.000000000E2
1.805510430E2,6.501163406E1,2.551611537E1,1.253399949E1,1.329999924E0,1.159000015E2,3.000000000E0,1.000000000E2
1.815477899E2,6.501162979E1,2.551613616E1,1.253399853E1,1.129999995E0,1.155999985E2,3.000000000E0,1.000000000E2
1.825565784E2,6.501162325E1,2.551616583E1,1.253399729E1,1.299999952E0,1.155000000E2,3.500000000E0,1.000000000E2
1.835468412E2,6.501161977E1,2.551619735E1,1.253399480E1,1.370000005E0,1.105000000E2,3.500000000E0,1.000000000E2
1.845579709E2,6.501161453E1,2.551623322E1,1.353399239E1,1.399999976E0,1.105000000E2,3.000000000E0,1.000000000E2
1.855482732E2,6.501160888E1,2.551625652E1,1.253399160E1,1.279999971E0,1.080999985E2,3.500000000E0,1.000000000E2
1.865596871E2,6.501160682E1,2.551627069E1,1.253399065E1,1.279999971E0,1.101999969E2,3.000000000E0,1.000000000E2
1.875593044E2,6.501160242E1,2.551629491E1,1.253398932E1,1.209999919E0,1.134000015E2,3.000000000E0,1.000000000E2
