"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.019467321E0,-2.236930281E-1,-3.770923615E-2,-2.141036987E-1
1.027371374E0,-2.261629850E-1,-1.327419281E-2,-2.091789246E-1
1.035244909E0,-2.027715892E-1,1.077890396E-2,-1.920385361E-1
1.043209997E0,-1.534195393E-1,3.937196732E-2,-2.657155991E-1
1.051114049E0,-9.765206277E-2,4.410791397E-2,-2.819681168E-1
1.059048620E0,-3.975720704E-2,2.241230011E-2,-4.681415558E-1
1.066952672E0,-8.074875921E-3,-1.080083847E-2,-7.024693489E-1
1.074826208E0,1.753494143E-5,-9.286308289E-2,-6.719098091E-1
1.082791295E0,2.755677328E-2,-1.109447479E-1,-5.442419052E-1
1.090756383E0,-9.197745472E-3,-7.060956955E-2,-4.363083839E-1
1.098690954E0,-9.931610897E-3,-4.159355164E-2,-2.904615402E-1
1.106564489E0,-2.426058054E-3,6.798267365E-3,-1.902389526E-1
1.114438024E0,-5.147723854E-2,2.650308609E-2,-8.045864105E-2
1.122403112E0,-1.417305619E-1,4.321956635E-2,-9.241199493E-2
1.130307165E0,-1.362008303E-1,6.216001511E-2,-9.467792511E-2
1.138272253E0,-7.444018126E-2,7.168340683E-2,7.055473328E-2
1.146176305E0,1.824753173E-2,4.488754272E-2,-3.211402893E-2
1.154049840E0,5.730623379E-2,4.136466980E-2,-3.067588806E-1
1.161984411E0,1.001815721E-1,1.664447784E-2,-3.230428696E-1
1.169857946E0,1.990519166E-1,6.850242615E-3,-2.343215942E-1
1.177823034E0,1.396525800E-1,1.184749603E-2,-1.410703659E-1
1.185727086E0,1.271896958E-1,3.909111023E-2,5.470848083E-2
1.193631139E0,1.681210548E-1,8.253049850E-2,1.407003403E-1
1.201565710E0,8.897585422E-2,1.033606529E-1,1.507225037E-1
1.209439245E0,-4.906402901E-3,8.466482162E-2,5.853271484E-2
1.217312780E0,-3.255889192E-2,1.006588936E-1,-2.675437927E-1
1.225186315E0,-1.790463738E-2,1.116609573E-2,-2.104625702E-1
1.233059850E0,3.151500970E-2,-6.838464737E-2,-9.852790833E-2
1.240994420E0,-1.152019948E-3,9.302616119E-3,-4.386157990E-1
1.248867956E0,7.518186420E-2,-3.419876099E-3,-4.701957703E-1
1.256802526E0,9.038016945E-2,-4.827451706E-2,-2.775669098E-1
1.264737096E0,8.010697365E-2,-2.826309204E-2,-2.646303177E-1
1.272641149E0,1.772162318E-1,-3.520011902E-3,-2.827777863E-1
1.280606237E0,1.758428812E-1,6.102466583E-2,-2.884082794E-1
1.288479772E0,1.431008875E-1,2.276611328E-2,-1.504726410E-1
1.296414342E0,2.132763416E-1,6.602668762E-2,-1.275281906E-1
1.304348913E0,2.536229491E-1,9.949207306E-2,-1.044530869E-1
1.312283483E0,6.200930104E-2,9.750604630E-2,2.080345154E-1
1.320218053E0,1.441080868E-1,1.520214081E-1,2.481880188E-1
1.328091588E0,2.729092538E-1,1.383585930E-1,9.271621704E-2
1.335965124E0,1.804955304E-1,9.198188782E-3,2.129268646E-1
1.343838659E0,8.107728511E-2,-2.728462219E-2,1.013326645E-1
1.351742711E0,-1.545227319E-2,4.053831100E-2,-2.681894302E-1
1.359738317E0,1.392180622E-1,5.119323730E-3,-5.728783607E-1
1.367642370E0,1.700320840E-1,-1.566901207E-1,-6.576108932E-1
1.375607458E0,2.105387151E-1,-2.309417725E-1,-6.450281143E-1
1.383480993E0,2.912158370E-1,-1.962199211E-1,-6.571502686E-1
1.391385045E0,3.115066886E-1,-1.383471489E-1,-4.380297661E-1
1.399350133E0,2.701649070E-1,-3.475952148E-2,-4.249553680E-1
1.407223669E0,2.336258739E-1,1.899814606E-2,-2.804803848E-1
1.415158239E0,1.896276176E-1,2.975988388E-2,-2.198600769E-1
1.423031774E0,2.356926799E-1,7.385683060E-2,-2.213678360E-1
1.430905309E0,2.160473466E-1,8.208084106E-2,-1.750040054E-1
1.438839879E0,1.836532056E-1,1.216373444E-1,-1.623535156E-2
1.446743932E0,2.459682077E-1,1.441164017E-1,2.303695679E-2
1.454709020E0,2.456572354E-1,1.398105621E-1,7.217216492E-2
1.462643590E0,2.072248459E-1,9.436702728E-2,9.524726868E-2
1.470578161E0,1.998500824E-1,6.008958817E-2,3.264045715E-2
1.478573766E0,2.115838379E-1,1.825428009E-2,-8.718585968E-2
1.486447301E0,1.973591447E-1,-2.385807037E-2,-1.709241867E-1
1.494381872E0,1.361000836E-1,-5.378293991E-2,-2.428359985E-1
1.502255407E0,1.306372881E-1,-6.939792633E-2,-3.482370377E-1
1.510128942E0,8.733765781E-2,-1.013593674E-1,-3.389811516E-1
1.518124547E0,1.131674498E-1,-1.304936409E-1,-3.539323807E-1
1.525998083E0,1.389040351E-1,-1.617302895E-1,-4.384975433E-1
1.533963170E0,1.903274059E-1,-1.896777153E-1,-3.512315750E-1
1.541836706E0,1.959544718E-1,-2.000718117E-1,-2.836151123E-1
1.549710241E0,1.801587641E-1,-1.741280556E-1,-3.000636101E-1
1.557644811E0,1.689891517E-1,-1.619286537E-1,-2.809858322E-1
1.565579381E0,1.459721625E-1,-1.392221451E-1,-1.954593658E-1
